consent_key.keys,consent_key.rt,recalled,recalled_rt,recall_acc,example_recall.thisRepN,example_recall.thisTrialN,example_recall.thisN,example_recall.thisIndex,example_recall.ran,file,word,participant,please enter your date of birth (dd/mm/yyyy),date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,list,prac_learn_study_loop.thisRepN,prac_learn_study_loop.thisTrialN,prac_learn_study_loop.thisN,prac_learn_study_loop.thisIndex,prac_learn_study_loop.ran,image,prac_learn_test_loop.thisRepN,prac_learn_test_loop.thisTrialN,prac_learn_test_loop.thisN,prac_learn_test_loop.thisIndex,prac_learn_test_loop.ran,learn_study_loop.thisRepN,learn_study_loop.thisTrialN,learn_study_loop.thisN,learn_study_loop.thisIndex,learn_study_loop.ran,list_no,block_no,learn_test_loop.thisRepN,learn_test_loop.thisTrialN,learn_test_loop.thisN,learn_test_loop.thisIndex,learn_test_loop.ran,learn_blocks.thisRepN,learn_blocks.thisTrialN,learn_blocks.thisN,learn_blocks.thisIndex,learn_blocks.ran,block_csv,key_resp_13.keys,key_resp_13.rt,learn_blocks_loop.thisRepN,learn_blocks_loop.thisTrialN,learn_blocks_loop.thisN,learn_blocks_loop.thisIndex,learn_blocks_loop.ran,final_learn_test.thisRepN,final_learn_test.thisTrialN,final_learn_test.thisN,final_learn_test.thisIndex,final_learn_test.ran
,,,,,,,,,,stimuli/images/PICTURE_509.png,BATH,5ec513570e821a440f878858,29/04/1999,2020-08-13_12h52.19.132,proactive2,2020.1.2,MacIntel,60,5f341be081b9052c55068110,5f3529559e502b4786c79dd7,4,,,,,,telephone,,,,,,0,0,0,15,1,2,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_141.png,CLIENT,5ec513570e821a440f878858,29/04/1999,2020-08-13_12h52.19.132,proactive2,2020.1.2,MacIntel,60,5f341be081b9052c55068110,5f3529559e502b4786c79dd7,4,,,,,,sunflower,,,,,,0,1,1,30,1,4,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_692.png,DUDE,5ec513570e821a440f878858,29/04/1999,2020-08-13_12h52.19.132,proactive2,2020.1.2,MacIntel,60,5f341be081b9052c55068110,5f3529559e502b4786c79dd7,4,,,,,,cherry,,,,,,0,2,2,47,1,5,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_708.png,VALLEY,5ec513570e821a440f878858,29/04/1999,2020-08-13_12h52.19.132,proactive2,2020.1.2,MacIntel,60,5f341be081b9052c55068110,5f3529559e502b4786c79dd7,4,,,,,,monkey,,,,,,0,3,3,45,1,5,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_509.png,SHOTS,5ec513570e821a440f878858,29/04/1999,2020-08-13_12h52.19.132,proactive2,2020.1.2,MacIntel,60,5f341be081b9052c55068110,5f3529559e502b4786c79dd7,4,,,,,,telephone,,,,,,0,4,4,7,1,1,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_68.png,KIND,5ec513570e821a440f878858,29/04/1999,2020-08-13_12h52.19.132,proactive2,2020.1.2,MacIntel,60,5f341be081b9052c55068110,5f3529559e502b4786c79dd7,4,,,,,,candle,,,,,,0,5,5,23,1,3,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_504.png,HOUSE,5ec513570e821a440f878858,29/04/1999,2020-08-13_12h52.19.132,proactive2,2020.1.2,MacIntel,60,5f341be081b9052c55068110,5f3529559e502b4786c79dd7,4,,,,,,wheel,,,,,,0,6,6,36,1,4,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_296.png,CLOCK,5ec513570e821a440f878858,29/04/1999,2020-08-13_12h52.19.132,proactive2,2020.1.2,MacIntel,60,5f341be081b9052c55068110,5f3529559e502b4786c79dd7,4,,,,,,bolt,,,,,,0,7,7,18,1,2,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_297.png,BODY,5ec513570e821a440f878858,29/04/1999,2020-08-13_12h52.19.132,proactive2,2020.1.2,MacIntel,60,5f341be081b9052c55068110,5f3529559e502b4786c79dd7,4,,,,,,aeroplane,,,,,,0,8,8,51,1,6,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_487.png,ROOF,5ec513570e821a440f878858,29/04/1999,2020-08-13_12h52.19.132,proactive2,2020.1.2,MacIntel,60,5f341be081b9052c55068110,5f3529559e502b4786c79dd7,4,,,,,,basket,,,,,,0,9,9,50,1,6,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_654.png,COPS,5ec513570e821a440f878858,29/04/1999,2020-08-13_12h52.19.132,proactive2,2020.1.2,MacIntel,60,5f341be081b9052c55068110,5f3529559e502b4786c79dd7,4,,,,,,pencil,,,,,,0,10,10,10,1,2,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_33.png,COPS,5ec513570e821a440f878858,29/04/1999,2020-08-13_12h52.19.132,proactive2,2020.1.2,MacIntel,60,5f341be081b9052c55068110,5f3529559e502b4786c79dd7,4,,,,,,frame,,,,,,0,11,11,29,1,3,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_215.png,FOOD,5ec513570e821a440f878858,29/04/1999,2020-08-13_12h52.19.132,proactive2,2020.1.2,MacIntel,60,5f341be081b9052c55068110,5f3529559e502b4786c79dd7,4,,,,,,boot,,,,,,0,12,12,5,1,1,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_405.png,JUNGLE,5ec513570e821a440f878858,29/04/1999,2020-08-13_12h52.19.132,proactive2,2020.1.2,MacIntel,60,5f341be081b9052c55068110,5f3529559e502b4786c79dd7,4,,,,,,anchor,,,,,,0,13,13,13,1,2,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_688.png,CLOCK,5ec513570e821a440f878858,29/04/1999,2020-08-13_12h52.19.132,proactive2,2020.1.2,MacIntel,60,5f341be081b9052c55068110,5f3529559e502b4786c79dd7,4,,,,,,runner,,,,,,0,14,14,42,1,5,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_487.png,POLICY,5ec513570e821a440f878858,29/04/1999,2020-08-13_12h52.19.132,proactive2,2020.1.2,MacIntel,60,5f341be081b9052c55068110,5f3529559e502b4786c79dd7,4,,,,,,basket,,,,,,0,15,15,34,1,4,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_509.png,MILLER,5ec513570e821a440f878858,29/04/1999,2020-08-13_12h52.19.132,proactive2,2020.1.2,MacIntel,60,5f341be081b9052c55068110,5f3529559e502b4786c79dd7,4,,,,,,telephone,,,,,,0,16,16,49,1,5,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_453.png,FAMILY,5ec513570e821a440f878858,29/04/1999,2020-08-13_12h52.19.132,proactive2,2020.1.2,MacIntel,60,5f341be081b9052c55068110,5f3529559e502b4786c79dd7,4,,,,,,scissors,,,,,,0,17,17,48,1,5,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_405.png,JUNGLE,5ec513570e821a440f878858,29/04/1999,2020-08-13_12h52.19.132,proactive2,2020.1.2,MacIntel,60,5f341be081b9052c55068110,5f3529559e502b4786c79dd7,4,,,,,,anchor,,,,,,0,18,18,58,1,6,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_356.png,CANDY,5ec513570e821a440f878858,29/04/1999,2020-08-13_12h52.19.132,proactive2,2020.1.2,MacIntel,60,5f341be081b9052c55068110,5f3529559e502b4786c79dd7,4,,,,,,pawn,,,,,,0,19,19,46,1,5,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_405.png,HOUSE,5ec513570e821a440f878858,29/04/1999,2020-08-13_12h52.19.132,proactive2,2020.1.2,MacIntel,60,5f341be081b9052c55068110,5f3529559e502b4786c79dd7,4,,,,,,anchor,,,,,,0,20,20,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_403.png,FAMILY,5ec513570e821a440f878858,29/04/1999,2020-08-13_12h52.19.132,proactive2,2020.1.2,MacIntel,60,5f341be081b9052c55068110,5f3529559e502b4786c79dd7,4,,,,,,cathedral,,,,,,0,21,21,9,1,1,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_667.png,GLASS,5ec513570e821a440f878858,29/04/1999,2020-08-13_12h52.19.132,proactive2,2020.1.2,MacIntel,60,5f341be081b9052c55068110,5f3529559e502b4786c79dd7,4,,,,,,daisy,,,,,,0,22,22,27,1,3,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_57.png,CANDY,5ec513570e821a440f878858,29/04/1999,2020-08-13_12h52.19.132,proactive2,2020.1.2,MacIntel,60,5f341be081b9052c55068110,5f3529559e502b4786c79dd7,4,,,,,,stamp,,,,,,0,23,23,52,1,6,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_564.png,PLENTY,5ec513570e821a440f878858,29/04/1999,2020-08-13_12h52.19.132,proactive2,2020.1.2,MacIntel,60,5f341be081b9052c55068110,5f3529559e502b4786c79dd7,4,,,,,,spoon,,,,,,0,24,24,11,1,2,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_750.png,POLICY,5ec513570e821a440f878858,29/04/1999,2020-08-13_12h52.19.132,proactive2,2020.1.2,MacIntel,60,5f341be081b9052c55068110,5f3529559e502b4786c79dd7,4,,,,,,kettle,,,,,,0,25,25,44,1,5,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_93.png,GIRL,5ec513570e821a440f878858,29/04/1999,2020-08-13_12h52.19.132,proactive2,2020.1.2,MacIntel,60,5f341be081b9052c55068110,5f3529559e502b4786c79dd7,4,,,,,,skateboard,,,,,,0,26,26,31,1,4,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_348.png,DUDE,5ec513570e821a440f878858,29/04/1999,2020-08-13_12h52.19.132,proactive2,2020.1.2,MacIntel,60,5f341be081b9052c55068110,5f3529559e502b4786c79dd7,4,,,,,,pepper,,,,,,0,27,27,59,1,6,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_208.png,SPIRIT,5ec513570e821a440f878858,29/04/1999,2020-08-13_12h52.19.132,proactive2,2020.1.2,MacIntel,60,5f341be081b9052c55068110,5f3529559e502b4786c79dd7,4,,,,,,microphone,,,,,,0,28,28,28,1,3,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_123.png,SALE,5ec513570e821a440f878858,29/04/1999,2020-08-13_12h52.19.132,proactive2,2020.1.2,MacIntel,60,5f341be081b9052c55068110,5f3529559e502b4786c79dd7,4,,,,,,dart,,,,,,0,29,29,8,1,1,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_2.png,JUNGLE,5ec513570e821a440f878858,29/04/1999,2020-08-13_12h52.19.132,proactive2,2020.1.2,MacIntel,60,5f341be081b9052c55068110,5f3529559e502b4786c79dd7,4,,,,,,tyre,,,,,,0,30,30,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_177.png,HOUSE,5ec513570e821a440f878858,29/04/1999,2020-08-13_12h52.19.132,proactive2,2020.1.2,MacIntel,60,5f341be081b9052c55068110,5f3529559e502b4786c79dd7,4,,,,,,mushroom,,,,,,0,31,31,25,1,3,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_348.png,TOILET,5ec513570e821a440f878858,29/04/1999,2020-08-13_12h52.19.132,proactive2,2020.1.2,MacIntel,60,5f341be081b9052c55068110,5f3529559e502b4786c79dd7,4,,,,,,pepper,,,,,,0,32,32,4,1,1,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_311.png,TOILET,5ec513570e821a440f878858,29/04/1999,2020-08-13_12h52.19.132,proactive2,2020.1.2,MacIntel,60,5f341be081b9052c55068110,5f3529559e502b4786c79dd7,4,,,,,,razor,,,,,,0,33,33,54,1,6,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_470.png,BEAUTY,5ec513570e821a440f878858,29/04/1999,2020-08-13_12h52.19.132,proactive2,2020.1.2,MacIntel,60,5f341be081b9052c55068110,5f3529559e502b4786c79dd7,4,,,,,,motorbike,,,,,,0,34,34,26,1,3,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_57.png,NATION,5ec513570e821a440f878858,29/04/1999,2020-08-13_12h52.19.132,proactive2,2020.1.2,MacIntel,60,5f341be081b9052c55068110,5f3529559e502b4786c79dd7,4,,,,,,stamp,,,,,,0,35,35,21,1,3,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_509.png,APPLE,5ec513570e821a440f878858,29/04/1999,2020-08-13_12h52.19.132,proactive2,2020.1.2,MacIntel,60,5f341be081b9052c55068110,5f3529559e502b4786c79dd7,4,,,,,,telephone,,,,,,0,36,36,38,1,4,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_2.png,AREA,5ec513570e821a440f878858,29/04/1999,2020-08-13_12h52.19.132,proactive2,2020.1.2,MacIntel,60,5f341be081b9052c55068110,5f3529559e502b4786c79dd7,4,,,,,,tyre,,,,,,0,37,37,32,1,4,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_147.png,LEADER,5ec513570e821a440f878858,29/04/1999,2020-08-13_12h52.19.132,proactive2,2020.1.2,MacIntel,60,5f341be081b9052c55068110,5f3529559e502b4786c79dd7,4,,,,,,hanger,,,,,,0,38,38,33,1,4,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_311.png,FLESH,5ec513570e821a440f878858,29/04/1999,2020-08-13_12h52.19.132,proactive2,2020.1.2,MacIntel,60,5f341be081b9052c55068110,5f3529559e502b4786c79dd7,4,,,,,,razor,,,,,,0,39,39,3,1,1,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_314.png,SPEECH,5ec513570e821a440f878858,29/04/1999,2020-08-13_12h52.19.132,proactive2,2020.1.2,MacIntel,60,5f341be081b9052c55068110,5f3529559e502b4786c79dd7,4,,,,,,perfume,,,,,,0,40,40,35,1,4,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_18.png,RIVER,5ec513570e821a440f878858,29/04/1999,2020-08-13_12h52.19.132,proactive2,2020.1.2,MacIntel,60,5f341be081b9052c55068110,5f3529559e502b4786c79dd7,4,,,,,,planet,,,,,,0,41,41,22,1,3,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_285.png,PRINCE,5ec513570e821a440f878858,29/04/1999,2020-08-13_12h52.19.132,proactive2,2020.1.2,MacIntel,60,5f341be081b9052c55068110,5f3529559e502b4786c79dd7,4,,,,,,carrot,,,,,,0,42,42,20,1,3,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_285.png,WRITER,5ec513570e821a440f878858,29/04/1999,2020-08-13_12h52.19.132,proactive2,2020.1.2,MacIntel,60,5f341be081b9052c55068110,5f3529559e502b4786c79dd7,4,,,,,,carrot,,,,,,0,43,43,6,1,1,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_57.png,CASINO,5ec513570e821a440f878858,29/04/1999,2020-08-13_12h52.19.132,proactive2,2020.1.2,MacIntel,60,5f341be081b9052c55068110,5f3529559e502b4786c79dd7,4,,,,,,stamp,,,,,,0,44,44,12,1,2,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_2.png,YARD,5ec513570e821a440f878858,29/04/1999,2020-08-13_12h52.19.132,proactive2,2020.1.2,MacIntel,60,5f341be081b9052c55068110,5f3529559e502b4786c79dd7,4,,,,,,tyre,,,,,,0,45,45,55,1,6,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_327.png,LEADER,5ec513570e821a440f878858,29/04/1999,2020-08-13_12h52.19.132,proactive2,2020.1.2,MacIntel,60,5f341be081b9052c55068110,5f3529559e502b4786c79dd7,4,,,,,,helmet,,,,,,0,46,46,17,1,2,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_452.png,COPS,5ec513570e821a440f878858,29/04/1999,2020-08-13_12h52.19.132,proactive2,2020.1.2,MacIntel,60,5f341be081b9052c55068110,5f3529559e502b4786c79dd7,4,,,,,,watch,,,,,,0,47,47,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_32.png,LETTER,5ec513570e821a440f878858,29/04/1999,2020-08-13_12h52.19.132,proactive2,2020.1.2,MacIntel,60,5f341be081b9052c55068110,5f3529559e502b4786c79dd7,4,,,,,,crown,,,,,,0,48,48,56,1,6,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_677.png,FAMILY,5ec513570e821a440f878858,29/04/1999,2020-08-13_12h52.19.132,proactive2,2020.1.2,MacIntel,60,5f341be081b9052c55068110,5f3529559e502b4786c79dd7,4,,,,,,map,,,,,,0,49,49,53,1,6,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_655.png,SALE,5ec513570e821a440f878858,29/04/1999,2020-08-13_12h52.19.132,proactive2,2020.1.2,MacIntel,60,5f341be081b9052c55068110,5f3529559e502b4786c79dd7,4,,,,,,megaphone,,,,,,0,50,50,57,1,6,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_255.png,PENNY,5ec513570e821a440f878858,29/04/1999,2020-08-13_12h52.19.132,proactive2,2020.1.2,MacIntel,60,5f341be081b9052c55068110,5f3529559e502b4786c79dd7,4,,,,,,shovel,,,,,,0,51,51,19,1,2,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_677.png,PHOTO,5ec513570e821a440f878858,29/04/1999,2020-08-13_12h52.19.132,proactive2,2020.1.2,MacIntel,60,5f341be081b9052c55068110,5f3529559e502b4786c79dd7,4,,,,,,map,,,,,,0,52,52,14,1,2,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_491.png,SERIES,5ec513570e821a440f878858,29/04/1999,2020-08-13_12h52.19.132,proactive2,2020.1.2,MacIntel,60,5f341be081b9052c55068110,5f3529559e502b4786c79dd7,4,,,,,,rug,,,,,,0,53,53,39,1,4,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_215.png,LEADER,5ec513570e821a440f878858,29/04/1999,2020-08-13_12h52.19.132,proactive2,2020.1.2,MacIntel,60,5f341be081b9052c55068110,5f3529559e502b4786c79dd7,4,,,,,,boot,,,,,,0,54,54,43,1,5,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_470.png,MOMENT,5ec513570e821a440f878858,29/04/1999,2020-08-13_12h52.19.132,proactive2,2020.1.2,MacIntel,60,5f341be081b9052c55068110,5f3529559e502b4786c79dd7,4,,,,,,motorbike,,,,,,0,55,55,40,1,5,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_215.png,BOYS,5ec513570e821a440f878858,29/04/1999,2020-08-13_12h52.19.132,proactive2,2020.1.2,MacIntel,60,5f341be081b9052c55068110,5f3529559e502b4786c79dd7,4,,,,,,boot,,,,,,0,56,56,24,1,3,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_95.png,NIGHT,5ec513570e821a440f878858,29/04/1999,2020-08-13_12h52.19.132,proactive2,2020.1.2,MacIntel,60,5f341be081b9052c55068110,5f3529559e502b4786c79dd7,4,,,,,,suitcase,,,,,,0,57,57,37,1,4,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_654.png,YEAR,5ec513570e821a440f878858,29/04/1999,2020-08-13_12h52.19.132,proactive2,2020.1.2,MacIntel,60,5f341be081b9052c55068110,5f3529559e502b4786c79dd7,4,,,,,,pencil,,,,,,0,58,58,41,1,5,2,,,,,,,,,,,,,,,,,,,,,,,
,,?,0.001,0,,,,,,stimuli/images/PICTURE_57.png,CASINO,5ec513570e821a440f878858,29/04/1999,2020-08-13_12h52.19.132,proactive2,2020.1.2,MacIntel,60,5f341be081b9052c55068110,5f3529559e502b4786c79dd7,4,,,,,,stamp,,,,,,,,,,,2,2,0,0,0,12,1,,,,,,,,,,,,,,,,,,
,,?,0.001,0,,,,,,stimuli/images/PICTURE_509.png,BATH,5ec513570e821a440f878858,29/04/1999,2020-08-13_12h52.19.132,proactive2,2020.1.2,MacIntel,60,5f341be081b9052c55068110,5f3529559e502b4786c79dd7,4,,,,,,telephone,,,,,,,,,,,2,2,0,1,1,15,1,,,,,,,,,,,,,,,,,,
,,APPLE,2.589,1,,,,,,stimuli/images/PICTURE_509.png,APPLE,5ec513570e821a440f878858,29/04/1999,2020-08-13_12h52.19.132,proactive2,2020.1.2,MacIntel,60,5f341be081b9052c55068110,5f3529559e502b4786c79dd7,4,,,,,,telephone,,,,,,,,,,,4,2,0,2,2,38,1,,,,,,,,,,,,,,,,,,
,,?,0.001,0,,,,,,stimuli/images/PICTURE_509.png,SHOTS,5ec513570e821a440f878858,29/04/1999,2020-08-13_12h52.19.132,proactive2,2020.1.2,MacIntel,60,5f341be081b9052c55068110,5f3529559e502b4786c79dd7,4,,,,,,telephone,,,,,,,,,,,1,2,0,3,3,7,1,,,,,,,,,,,,,,,,,,
,,LEADER,3.129,1,,,,,,stimuli/images/PICTURE_147.png,LEADER,5ec513570e821a440f878858,29/04/1999,2020-08-13_12h52.19.132,proactive2,2020.1.2,MacIntel,60,5f341be081b9052c55068110,5f3529559e502b4786c79dd7,4,,,,,,hanger,,,,,,,,,,,4,2,0,4,4,33,1,,,,,,,,,,,,,,,,,,
