consent_key.keys,consent_key.rt,recalled,recalled_rt,recall_acc,example_recall.thisRepN,example_recall.thisTrialN,example_recall.thisN,example_recall.thisIndex,example_recall.ran,file,word,participant,please enter your date of birth (dd/mm/yyyy),date,expName,psychopyVersion,OS,frameRate,list,prac_learn_study_loop.thisRepN,prac_learn_study_loop.thisTrialN,prac_learn_study_loop.thisN,prac_learn_study_loop.thisIndex,prac_learn_study_loop.ran,image,prac_learn_test_loop.thisRepN,prac_learn_test_loop.thisTrialN,prac_learn_test_loop.thisN,prac_learn_test_loop.thisIndex,prac_learn_test_loop.ran,learn_study_loop.thisRepN,learn_study_loop.thisTrialN,learn_study_loop.thisN,learn_study_loop.thisIndex,learn_study_loop.ran,list_no,block_no,learn_test_loop.thisRepN,learn_test_loop.thisTrialN,learn_test_loop.thisN,learn_test_loop.thisIndex,learn_test_loop.ran,learn_blocks.thisRepN,learn_blocks.thisTrialN,learn_blocks.thisN,learn_blocks.thisIndex,learn_blocks.ran,block_csv,key_resp_13.keys,key_resp_13.rt,learn_blocks_loop.thisRepN,learn_blocks_loop.thisTrialN,learn_blocks_loop.thisN,learn_blocks_loop.thisIndex,learn_blocks_loop.ran,final_learn_test.thisRepN,final_learn_test.thisTrialN,final_learn_test.thisN,final_learn_test.thisIndex,final_learn_test.ran,prac_wm_test_loop.thisRepN,prac_wm_test_loop.thisTrialN,prac_wm_test_loop.thisN,prac_wm_test_loop.thisIndex,prac_wm_test_loop.ran,wm_recalled1,wm_recall_rt1,wm_probed1,wm_recall_acc1,wm_recalled2,wm_recall_rt2,wm_probed2,wm_recall_acc2,wm_recalled3,wm_recall_rt3,wm_probed3,wm_recall_acc3,wm_recalled4,wm_recall_rt4,wm_probed4,wm_recall_acc4,prac_wm_trial_loop.thisRepN,prac_wm_trial_loop.thisTrialN,prac_wm_trial_loop.thisN,prac_wm_trial_loop.thisIndex,prac_wm_trial_loop.ran,word1,image1,file1,item_type1,word2,image2,file2,item_type2,word4,image4,file4,item_type4,word3,image3,file3,item_type3,wm_test_loop.thisRepN,wm_test_loop.thisTrialN,wm_test_loop.thisN,wm_test_loop.thisIndex,wm_test_loop.ran,wm_trial_loop.thisRepN,wm_trial_loop.thisTrialN,wm_trial_loop.thisN,wm_trial_loop.thisIndex,wm_trial_loop.ran
,,,,,,,,,,stimuli/images/PICTURE_57.png,CASINO,5c92870723bd7e001870138e,1009,2020-09-12_06h49.43.748,proactive3.2,2020.1.2,Linux x86_64,60,1,,,,,,stamp,,,,,,0,15,15,12,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_215.png,FOOD,5c92870723bd7e001870138e,1009,2020-09-12_06h49.43.748,proactive3.2,2020.1.2,Linux x86_64,60,1,,,,,,boot,,,,,,0,16,16,5,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_470.png,MOMENT,5c92870723bd7e001870138e,1009,2020-09-12_06h49.43.748,proactive3.2,2020.1.2,Linux x86_64,60,1,,,,,,motorbike,,,,,,0,17,17,40,1,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_57.png,NATION,5c92870723bd7e001870138e,1009,2020-09-12_06h49.43.748,proactive3.2,2020.1.2,Linux x86_64,60,1,,,,,,stamp,,,,,,0,18,18,21,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_311.png,FLESH,5c92870723bd7e001870138e,1009,2020-09-12_06h49.43.748,proactive3.2,2020.1.2,Linux x86_64,60,1,,,,,,razor,,,,,,0,19,19,3,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_692.png,DUDE,5c92870723bd7e001870138e,1009,2020-09-12_06h49.43.748,proactive3.2,2020.1.2,Linux x86_64,60,1,,,,,,cherry,,,,,,0,20,20,47,1,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_654.png,YEAR,5c92870723bd7e001870138e,1009,2020-09-12_06h49.43.748,proactive3.2,2020.1.2,Linux x86_64,60,1,,,,,,pencil,,,,,,0,21,21,41,1,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_405.png,JUNGLE,5c92870723bd7e001870138e,1009,2020-09-12_06h49.43.748,proactive3.2,2020.1.2,Linux x86_64,60,1,,,,,,anchor,,,,,,0,22,22,58,1,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_509.png,APPLE,5c92870723bd7e001870138e,1009,2020-09-12_06h49.43.748,proactive3.2,2020.1.2,Linux x86_64,60,1,,,,,,telephone,,,,,,0,23,23,38,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_285.png,WRITER,5c92870723bd7e001870138e,1009,2020-09-12_06h49.43.748,proactive3.2,2020.1.2,Linux x86_64,60,1,,,,,,carrot,,,,,,0,24,24,6,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_311.png,TOILET,5c92870723bd7e001870138e,1009,2020-09-12_06h49.43.748,proactive3.2,2020.1.2,Linux x86_64,60,1,,,,,,razor,,,,,,0,25,25,54,1,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_750.png,POLICY,5c92870723bd7e001870138e,1009,2020-09-12_06h49.43.748,proactive3.2,2020.1.2,Linux x86_64,60,1,,,,,,kettle,,,,,,0,26,26,44,1,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_147.png,LEADER,5c92870723bd7e001870138e,1009,2020-09-12_06h49.43.748,proactive3.2,2020.1.2,Linux x86_64,60,1,,,,,,hanger,,,,,,0,27,27,33,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_95.png,NIGHT,5c92870723bd7e001870138e,1009,2020-09-12_06h49.43.748,proactive3.2,2020.1.2,Linux x86_64,60,1,,,,,,suitcase,,,,,,0,28,28,37,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_504.png,HOUSE,5c92870723bd7e001870138e,1009,2020-09-12_06h49.43.748,proactive3.2,2020.1.2,Linux x86_64,60,1,,,,,,wheel,,,,,,0,29,29,36,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_688.png,CLOCK,5c92870723bd7e001870138e,1009,2020-09-12_06h49.43.748,proactive3.2,2020.1.2,Linux x86_64,60,1,,,,,,runner,,,,,,0,30,30,42,1,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_348.png,TOILET,5c92870723bd7e001870138e,1009,2020-09-12_06h49.43.748,proactive3.2,2020.1.2,Linux x86_64,60,1,,,,,,pepper,,,,,,0,31,31,4,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_297.png,BODY,5c92870723bd7e001870138e,1009,2020-09-12_06h49.43.748,proactive3.2,2020.1.2,Linux x86_64,60,1,,,,,,aeroplane,,,,,,0,32,32,51,1,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_2.png,JUNGLE,5c92870723bd7e001870138e,1009,2020-09-12_06h49.43.748,proactive3.2,2020.1.2,Linux x86_64,60,1,,,,,,tyre,,,,,,0,33,33,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_177.png,HOUSE,5c92870723bd7e001870138e,1009,2020-09-12_06h49.43.748,proactive3.2,2020.1.2,Linux x86_64,60,1,,,,,,mushroom,,,,,,0,34,34,25,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_708.png,VALLEY,5c92870723bd7e001870138e,1009,2020-09-12_06h49.43.748,proactive3.2,2020.1.2,Linux x86_64,60,1,,,,,,monkey,,,,,,0,35,35,45,1,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_655.png,SALE,5c92870723bd7e001870138e,1009,2020-09-12_06h49.43.748,proactive3.2,2020.1.2,Linux x86_64,60,1,,,,,,megaphone,,,,,,0,36,36,57,1,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_487.png,ROOF,5c92870723bd7e001870138e,1009,2020-09-12_06h49.43.748,proactive3.2,2020.1.2,Linux x86_64,60,1,,,,,,basket,,,,,,0,37,37,50,1,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_509.png,BATH,5c92870723bd7e001870138e,1009,2020-09-12_06h49.43.748,proactive3.2,2020.1.2,Linux x86_64,60,1,,,,,,telephone,,,,,,0,38,38,15,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_487.png,POLICY,5c92870723bd7e001870138e,1009,2020-09-12_06h49.43.748,proactive3.2,2020.1.2,Linux x86_64,60,1,,,,,,basket,,,,,,0,39,39,34,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_2.png,AREA,5c92870723bd7e001870138e,1009,2020-09-12_06h49.43.748,proactive3.2,2020.1.2,Linux x86_64,60,1,,,,,,tyre,,,,,,0,40,40,32,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_654.png,COPS,5c92870723bd7e001870138e,1009,2020-09-12_06h49.43.748,proactive3.2,2020.1.2,Linux x86_64,60,1,,,,,,pencil,,,,,,0,41,41,10,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_68.png,KIND,5c92870723bd7e001870138e,1009,2020-09-12_06h49.43.748,proactive3.2,2020.1.2,Linux x86_64,60,1,,,,,,candle,,,,,,0,42,42,23,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_356.png,CANDY,5c92870723bd7e001870138e,1009,2020-09-12_06h49.43.748,proactive3.2,2020.1.2,Linux x86_64,60,1,,,,,,pawn,,,,,,0,43,43,46,1,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_18.png,RIVER,5c92870723bd7e001870138e,1009,2020-09-12_06h49.43.748,proactive3.2,2020.1.2,Linux x86_64,60,1,,,,,,planet,,,,,,0,44,44,22,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_452.png,COPS,5c92870723bd7e001870138e,1009,2020-09-12_06h49.43.748,proactive3.2,2020.1.2,Linux x86_64,60,1,,,,,,watch,,,,,,0,45,45,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_123.png,SALE,5c92870723bd7e001870138e,1009,2020-09-12_06h49.43.748,proactive3.2,2020.1.2,Linux x86_64,60,1,,,,,,dart,,,,,,0,46,46,8,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_215.png,BOYS,5c92870723bd7e001870138e,1009,2020-09-12_06h49.43.748,proactive3.2,2020.1.2,Linux x86_64,60,1,,,,,,boot,,,,,,0,47,47,24,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_403.png,FAMILY,5c92870723bd7e001870138e,1009,2020-09-12_06h49.43.748,proactive3.2,2020.1.2,Linux x86_64,60,1,,,,,,cathedral,,,,,,0,48,48,9,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_285.png,PRINCE,5c92870723bd7e001870138e,1009,2020-09-12_06h49.43.748,proactive3.2,2020.1.2,Linux x86_64,60,1,,,,,,carrot,,,,,,0,49,49,20,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
